month,unemployment_rate,fed_funds_rate,10y_rate,nonfarm_payrolls,cpi_index
2002-01,5.7,1.73,5.04,130869000,177.7
2002-02,5.7,1.74,4.91,130733000,178
2002-03,5.7,1.73,5.28,130712000,178.5
2002-04,5.9,1.75,5.21,130634000,179.3
2002-05,5.8,1.75,5.16,130629000,179.5
2002-06,5.8,1.75,4.93,130685000,179.6
2002-07,5.8,1.73,4.65,130601000,180
2002-08,5.7,1.74,4.26,130587000,180.5
2002-09,5.7,1.75,3.87,130527000,180.8
2002-10,5.7,1.75,3.94,130649000,181.2
2002-11,5.9,1.34,4.05,130662000,181.5
2002-12,6,1.24,4.03,130504000,181.8
2003-01,5.8,1.24,4.05,130596000,182.6
2003-02,5.9,1.26,3.9,130447000,183.6
2003-03,5.9,1.25,3.81,130238000,183.9
2003-04,6,1.26,3.96,130194000,183.2
2003-05,6.1,1.26,3.57,130187000,182.9
2003-06,6.3,1.22,3.33,130197000,183.1
2003-07,6.2,1.01,3.98,130219000,183.7
2003-08,6.1,1.03,4.45,130178000,184.5
2003-09,6.1,1.01,4.27,130282000,185.1
2003-10,6,1.01,4.29,130485000,184.9
2003-11,5.8,1,4.3,130496000,185
2003-12,5.7,0.98,4.27,130619000,185.5
2004-01,5.7,1,4.15,130778000,186.3
2004-02,5.6,1.01,4.08,130826000,186.7
2004-03,5.8,1,3.83,131157000,187.1
2004-04,5.6,1,4.35,131408000,187.4
2004-05,5.6,1,4.72,131715000,188.2
2004-06,5.6,1.03,4.73,131792000,188.9
2004-07,5.5,1.26,4.5,131837000,189.1
2004-08,5.4,1.43,4.28,131956000,189.2
2004-09,5.4,1.61,4.13,132118000,189.8
2004-10,5.5,1.76,4.1,132464000,190.8
2004-11,5.4,1.93,4.19,132530000,191.7
2004-12,5.4,2.16,4.23,132659000,191.7
2005-01,5.3,2.28,4.22,132795000,191.6
2005-02,5.4,2.5,4.17,133034000,192.4
2005-03,5.2,2.63,4.5,133169000,193.1
2005-04,5.2,2.79,4.34,133533000,193.7
2005-05,5.1,3,4.14,133710000,193.6
2005-06,5,3.04,4,133955000,193.7
2005-07,5,3.26,4.18,134329000,194.9
2005-08,4.9,3.5,4.26,134525000,196.1
2005-09,5,3.62,4.2,134592000,198.8
2005-10,5,3.78,4.46,134676000,199.1
2005-11,5,4,4.54,135017000,198.1
2005-12,4.9,4.16,4.47,135174000,198.1
2006-01,4.7,4.29,4.42,135452000,199.3
2006-02,4.8,4.49,4.57,135767000,199.4
2006-03,4.7,4.59,4.72,136049000,199.7
2006-04,4.7,4.79,4.99,136232000,200.7
2006-05,4.6,4.94,5.11,136257000,201.3
2006-06,4.6,4.99,5.11,136336000,201.8
2006-07,4.7,5.24,5.09,136542000,202.9
2006-08,4.7,5.25,4.88,136725000,203.8
2006-09,4.5,5.25,4.72,136878000,202.8
2006-10,4.4,5.25,4.73,136886000,201.9
2006-11,4.5,5.25,4.6,137095000,202
2006-12,4.4,5.24,4.56,137266000,203.1
2007-01,4.6,5.25,4.76,137506000,203.437
2007-02,4.5,5.26,4.72,137595000,204.226
2007-03,4.4,5.26,4.56,137785000,205.288
2007-04,4.5,5.25,4.69,137865000,205.904
2007-05,4.4,5.25,4.75,138008000,206.755
2007-06,4.6,5.25,5.1,138083000,207.234
2007-07,4.7,5.26,5,138049000,207.603
2007-08,4.6,5.02,4.67,138029000,207.667
2007-09,4.7,4.94,4.52,138117000,208.547
2007-10,4.7,4.76,4.53,138201000,209.19
2007-11,4.7,4.49,4.15,138315000,210.834
2007-12,5,4.24,4.1,138413000,211.445
2008-01,5,3.94,3.74,138430000,212.174
2008-02,4.9,2.98,3.74,138346000,212.687
2008-03,5.1,2.61,3.51,138268000,213.448
2008-04,5,2.28,3.68,138058000,213.942
2008-05,5.4,1.98,3.88,137872000,215.208
2008-06,5.6,2,4.1,137710000,217.463
2008-07,5.8,2.01,4.01,137497000,219.016
2008-08,6.1,2,3.89,137230000,218.69
2008-09,6.1,1.81,3.69,136780000,218.877
2008-10,6.5,0.97,3.81,136306000,216.995
2008-11,6.8,0.39,3.53,135540000,213.153
2008-12,7.3,0.16,2.42,134846000,211.398
2009-01,7.8,0.15,2.52,134053000,211.933
2009-02,8.3,0.22,2.87,133351000,212.705
2009-03,8.7,0.18,2.82,132528000,212.495
2009-04,9,0.15,2.93,131841000,212.709
2009-05,9.4,0.18,3.29,131492000,213.022
2009-06,9.5,0.21,3.72,131021000,214.79
2009-07,9.5,0.16,3.56,130692000,214.726
2009-08,9.6,0.16,3.59,130479000,215.445
2009-09,9.8,0.15,3.4,130259000,215.861
2009-10,10,0.12,3.39,130055000,216.509
2009-11,9.9,0.12,3.4,130053000,217.234
2009-12,9.9,0.12,3.59,129778000,217.347
2010-01,9.8,0.11,3.73,129801000,217.488
2010-02,9.8,0.13,3.69,129733000,217.281
2010-03,9.9,0.16,3.73,129897000,217.353
2010-04,9.9,0.2,3.85,130140000,217.403
2010-05,9.6,0.2,3.42,130664000,217.29
2010-06,9.4,0.18,3.2,130527000,217.199
2010-07,9.4,0.18,3.01,130459000,217.605
2010-08,9.5,0.19,2.7,130423000,217.923
2010-09,9.5,0.19,2.65,130371000,218.275
2010-10,9.4,0.19,2.54,130633000,219.035
2010-11,9.8,0.19,2.76,130752000,219.59
2010-12,9.3,0.18,3.29,130839000,220.472
2011-01,9.1,0.17,3.39,130882000,221.187
2011-02,9,0.16,3.58,131071000,221.898
2011-03,9,0.14,3.41,131296000,223.046
2011-04,9.1,0.1,3.46,131642000,224.093
2011-05,9,0.09,3.17,131719000,224.806
2011-06,9.1,0.09,3,131944000,224.806
2011-07,9,0.07,3,132013000,225.395
2011-08,9,0.1,2.3,132123000,226.106
2011-09,9,0.08,1.98,132371000,226.597
2011-10,8.8,0.07,2.15,132580000,226.75
2011-11,8.6,0.08,2.01,132721000,227.169
2011-12,8.5,0.07,1.98,132930000,227.223
2012-01,8.3,0.08,1.97,133288000,227.842
2012-02,8.3,0.1,1.97,133525000,228.329
2012-03,8.2,0.13,2.17,133758000,228.807
2012-04,8.2,0.14,2.05,133836000,229.187
2012-05,8.2,0.16,1.8,133951000,228.713
2012-06,8.2,0.16,1.62,134027000,228.524
2012-07,8.2,0.16,1.53,134170000,228.59
2012-08,8.1,0.13,1.68,134347000,229.918
2012-09,7.8,0.14,1.72,134550000,231.015
2012-10,7.8,0.16,1.75,134696000,231.638
2012-11,7.7,0.16,1.65,134828000,231.249
2012-12,7.9,0.16,1.72,135072000,231.221
2013-01,8,0.14,1.91,135283000,231.612
2013-02,7.7,0.15,1.98,135569000,232.985
2013-03,7.5,0.14,1.96,135699000,232.299
2013-04,7.6,0.15,1.76,135896000,231.795
2013-05,7.5,0.11,1.93,136122000,231.916
2013-06,7.5,0.09,2.3,136284000,232.374
2013-07,7.3,0.09,2.58,136406000,232.889
2013-08,7.3,0.08,2.74,136667000,233.323
2013-09,7.2,0.08,2.81,136857000,233.632
2013-10,7.2,0.09,2.62,137069000,233.718
2013-11,6.9,0.08,2.72,137327000,234.121
2013-12,6.7,0.09,2.9,137374000,234.723
2014-01,6.6,0.07,2.86,137564000,235.385
2014-02,6.7,0.07,2.71,137715000,235.672
2014-03,6.7,0.08,2.72,137987000,235.978
2014-04,6.2,0.09,2.71,138316000,236.471
2014-05,6.3,0.09,2.56,138562000,236.832
2014-06,6.1,0.1,2.6,138866000,237.029
2014-07,6.2,0.09,2.54,139068000,237.424
2014-08,6.2,0.09,2.42,139298000,237.256
2014-09,5.9,0.09,2.53,139578000,237.486
2014-10,5.7,0.09,2.3,139805000,237.506
2014-11,5.8,0.09,2.33,140117000,237.118
2014-12,5.6,0.12,2.21,140372000,236.29
2015-01,5.7,0.11,1.88,140606000,234.913
2015-02,5.5,0.11,1.98,140844000,235.489
2015-03,5.4,0.11,2.04,140930000,235.989
2015-04,5.4,0.12,1.94,141192000,236.201
2015-05,5.5,0.12,2.2,141536000,236.891
2015-06,5.3,0.13,2.36,141742000,237.419
2015-07,5.2,0.13,2.32,141996000,237.876
2015-08,5.1,0.14,2.17,142153000,237.811
2015-09,5,0.14,2.17,142253000,237.467
2015-10,5,0.12,2.07,142574000,237.792
2015-11,5,0.12,2.26,142846000,238.153
2015-12,5,0.24,2.24,143085000,237.846
2016-01,4.9,0.34,2.09,143211000,238.106
2016-02,4.9,0.38,1.78,143448000,237.808
2016-03,5,0.36,1.89,143673000,238.078
2016-04,5,0.37,1.81,143826000,238.908
2016-05,4.7,0.37,1.81,143869000,239.362
2016-06,4.9,0.38,1.64,144166000,239.842
2016-07,4.9,0.39,1.5,144457000,239.898
2016-08,4.9,0.4,1.56,144633000,240.389
2016-09,4.9,0.4,1.63,144882000,241.006
2016-10,4.8,0.4,1.76,145006000,241.694
2016-11,4.6,0.41,2.14,145170000,242.199
2016-12,4.7,0.54,2.49,145327000,242.821
2017-01,4.8,0.65,2.43,145554000,244.158
